NAME,SHORTNAME
Alexion Pharmaceuticals Inc.,Alexion Pharmaceuticals
Alithya Group inc.,Alithya
Antero Midstream Partners LP representing limited partner interests,Antero Midstream Partners representing limited partner interests
AMAG Pharmaceuticals Inc.,AMAG Pharmaceuticals
Amalgamated Bank,Amalgamated Bank
Applied Materials Inc.,Applied Materials
Ambarella Inc.,Ambarella
Ambac Financial Group Inc.,Ambac Financial
Ambow Education Holding Ltd. American Depository Shares each representing two Class A,Ambow Education Holding American Depository Shares each representing two
Amber Road Inc.,Amber Road
AMC Entertainment Holdings Inc. Class A,AMC Entertainment
AMCI Acquisition Corp.,AMCI Acquisition
AirMedia Group Inc,AirMedia
AMC Networks Inc.,AMC Networks
Advanced Micro Devices Inc.,Advanced Micro Devices
AMETEK Inc.,AMETEK
Amedisys Inc,Amedisys
Apollo Medical Holdings Inc.,Apollo Medical
Affiliated Managers Group Inc.,Affiliated Managers
Amgen Inc.,Amgen
Antero Midstream GP LP of Beneficial Interests,Antero Midstream GP of Beneficial Interests
American Homes 4 Rent of Beneficial Interest,American Homes 4 Rent of Beneficial Interest
American Midstream Partners LP representing Limited Partner Interests,American Midstream Partners representing Limited Partner Interests
JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN
Amkor Technology Inc.,Amkor Technology
Alerian MLP,Alerian MLP
AMN Healthcare Services Inc,AMN Healthcare Services
American National Bankshares Inc.,American National Bankshares
Allied Motion Technologies Inc.,Allied Motion
America Movil S.A.B. de C.V. Class An Depositary Shares,America Movil S.A.B. de C.V. An Depositary Shares
Ameriprise Financial Inc.,Ameriprise Financial
Ampio Pharmaceuticals Inc.,Ampio Pharmaceuticals
Amphastar Pharmaceuticals Inc.,Amphastar Pharmaceuticals
Alta Mesa Resources Inc.,Alta Mesa Resources
American River Bankshares,American River Bankshares
Ameresco Inc. Class A,Ameresco
Ameri Holdings Inc.,Ameri
A-Mark Precious Metals Inc.,A-Mark Precious Metals
Amarin Corporation plc,Amarin plc
Amyris Inc.,Amyris
Amneal Pharmaceuticals Inc. Class A,Amneal Pharmaceuticals
American Shared Hospital Services,American Shared Hospital Services
American Superconductor Corporation,American Superconductor
AMERISAFE Inc.,AMERISAFE
American Software Inc. Class A Common Stock,American Software Common Stock
American Tower Corporation (REIT),American Tower (REIT)
Mercantil Bank Holding Corporation,Mercantil Bank Holding
Mercantil Bank Holding Corporation Class B Common Stock,Mercantil Bank Holding B Common Stock
TD Ameritrade Holding Corporation,TD Ameritrade Holding
Aemetis Inc,Aemetis
American Woodmark Corporation,American Woodmark
America Movil S.A.B. de C.V.n Depository Receipt Series L,America Movil S.A.B. de C.V.n Depository Receipt Series L
Amazon.com Inc.,Amazon.com
AutoNation Inc.,AutoNation
AnaptysBio Inc.,AnaptysBio
American National Insurance Company,American National Insurance Company
The Andersons Inc.,The Andersons
Andeavor Logistics LP representing Limited Partner Interests,Andeavor Logistics representing Limited Partner Interests
