NAME,SHORTNAME
LivePerson Inc.,LivePerson
Liberty Property Trust,Liberty Property Trust
LightPath Technologies Inc.,LightPath
Leap Therapeutics Inc.,Leap Therapeutics
Louisiana-Pacific Corporation,Louisiana-Pacific
iShares iBoxx $ Investment Grade Corporate Bond,iShares iBoxx $ Investment Grade Corporate Bond
Liquidia Technologies Inc.,Liquidia
Liquidity Services Inc.,Liquidity Services
LRAD Corporation,LRAD
Lam Research Corporation,Lam Research
K12 Inc,K12
Lake Shore Bancorp Inc.,Lake Shore Bancorp
Lattice Semiconductor Corporation,Lattice Semiconductor
Life Storage Inc.,Life Storage
Landstar System Inc.,Landstar System
Liberty Media Corporation Series A Liberty SiriusXM Common Stock,Liberty Media Series Liberty SiriusXM Common Stock
Liberty Media Corporation Series B Liberty SiriusXM Common Stock,Liberty Media Series B Liberty SiriusXM Common Stock
Liberty Media Corporation Series C Liberty SiriusXM Common Stock,Liberty Media Series C Liberty SiriusXM Common Stock
Lightbridge Corporation,Lightbridge
LTC Properties Inc.,LTC Properties
Livent Corporation,Livent
ProShares Ultra Telecommunications,ProShares Ultra Telecommunications
LATAM Airlines Group S.A.,LATAM Airlines S.A.
Union Acquisition Corp.,Union Acquisition
LiveXLive Media,LiveXLive Media
Pimco 15 Year U.S. TIPS Index Exchange-Traded Fund,Pimco 15 Year U.S. TIPS Index Exchange-Traded Fund
Liberty TripAdvisor Holdings Inc. Series A Common Stock,Liberty TripAdvisor Series Common Stock
Liberty TripAdvisor Holdings Inc. Series B Common Stock,Liberty TripAdvisor Series B Common Stock
Lantronix Inc.,Lantronix
Ladenburg Thalmann Financial Services Inc,Ladenburg Thalmann Financial Services
LegacyTexas Financial Group Inc.,LegacyTexas Financial
Luby's Inc.,Luby's
lululemon athletica inc.,lululemon athletica
Luna Innovations Incorporated,Luna Innovations Incorporated
Southwest Airlines Company,Southwest Airlines Company
Invesco S&P Global Dividend Opportunities Index,Invesco S&P Global Dividend Opportunities Index
Las Vegas Sands Corp.,Las Vegas Sands
Lamb Weston Holdings Inc.,Lamb Weston
Lifeway Foods Inc.,Lifeway Foods
LexinFintech Holdings Ltd.,LexinFintech
Luxfer Holdings PLC,Luxfer PLC
Luxoft Holding Inc. Class A,Luxoft Holding
Lexington Realty Trust,Lexington Realty Trust
Lexicon Pharmaceuticals Inc.,Lexicon Pharmaceuticals
LSB Industries Inc.,LSB Industries
LyondellBasell Industries NV Class A (Netherlands),LyondellBasell Industries NV (Netherlands)
Lloyds Banking Group Plc American Depositary Shares,Lloyds Banking Plc American Depositary Shares
Dragon Victory International Limited,Dragon Victory International Limited
LSI Industries Inc.,LSI Industries
Live Nation Entertainment Inc.,Live Nation Entertainment
La-Z-Boy Incorporated,La-Z-Boy Incorporated
Macy's Inc,Macy's
Mastercard Incorporated,Mastercard Incorporated
Mid-America Apartment Communities Inc.,Mid-America Apartment Communities
Macerich Company (The),Macerich Company (The)
Merrimack Pharmaceuticals Inc.,Merrimack Pharmaceuticals
MAG Silver Corporation,MAG Silver
Magal Security Systems Ltd.,Magal Security Systems
Main Street Capital Corporation,Main Street Capital
MAM Software Group Inc.,MAM Software
ManpowerGroup,ManpowerGroup
Manhattan Associates Inc.,Manhattan Associates
ManTech International Corporation,ManTech International
Manchester United Ltd. Class A,Manchester United
Marriott International,Marriott International
Marathon Patent Group Inc.,Marathon Patent
Remark Holdings Inc.,Remark
Marine Petroleum Trust Units of Beneficial Interest,Marine Petroleum Trust Units of Beneficial Interest
Masco Corporation,Masco
Masimo Corporation,Masimo
Mattel Inc.,Mattel
Matthews International Corporation,Matthews International
Matson Inc.,Matson
Pioneer Municipal High Income Advantage Trust of Beneficial Interest,Pioneer Municipal High Income Advantage Trust of Beneficial Interest
Maxar Technologies Inc.,Maxar
J. W. Mays Inc.,J. W. Mays
MINDBODY Inc.,MINDBODY
iShares MBS ETF,iShares MBS ETF
Middlefield Banc Corp.,Middlefield Banc
MB Financial Inc.,MB Financial
SPDR Bloomberg Barclays Mortgage Backed Bond,SPDR Bloomberg Barclays Mortgage Backed Bond
MBIA Inc.,MBIA
Marrone Bio Innovations Inc.,Marrone Bio Innovations
Merchants Bancorp,Merchants Bancorp
Mustang Bio Inc.,Mustang Bio
Microbot Medical Inc.,Microbot Medical
Moleculin Biotech Inc.,Moleculin Biotech
Mobile TeleSystems PJSC,Mobile TeleSystems PJSC
M B T Financial Corp,M B T Financial
Malibu Boats Inc.,Malibu Boats
Mercantile Bank Corporation,Mercantile Bank
Moelis & Company Class A,Moelis & Company
Blackrock MuniYield California Quality Fund Inc.,Blackrock MuniYield California Quality Fund
Metropolitan Bank Holding Corp.,Metropolitan Bank Holding
Macatawa Bank Corporation,Macatawa Bank
Medley Capital Corporation,Medley Capital
McDonald's Corporation,McDonald's
Mid-Con Energy Partners LP,Mid-Con Energy Partners
Contango Oil & Gas Company,Contango Oil & Gas Company
MasterCraft Boat Holdings Inc.,MasterCraft Boat
iShares MSCI China ETF,iShares MSCI China ETF
Microchip Technology Incorporated,Microchip Technology Incorporated
Marchex Inc.,Marchex
Barings Corporate Investors,Barings Corporate Investors
McKesson Corporation,McKesson
Madison Covered Call & Equity Strategy Fund,Madison Covered Call & Equity Strategy Fund
Moody's Corporation,Moody's
MFS Charter Income Trust,MFS Charter Income Trust
Seres Therapeutics Inc.,Seres Therapeutics
Monarch Casino & Resort Inc.,Monarch Casino & Resort
Milacron Holdings Corp.,Milacron
IQ Hedge Macro Tracker,IQ Hedge Macro Tracker
Marcus Corporation (The),Marcus (The)
Mercury General Corporation,Mercury General
Mednax Inc.,Mednax
MongoDB Inc.,MongoDB
M.D.C. Holdings Inc.,M.D.C.
MDC Partners Inc.,MDC Partners
The Medicines Company,The Medicines Company
Madrigal Pharmaceuticals Inc.,Madrigal Pharmaceuticals
Medigus Ltd.,Medigus
Multi-Asset Diversified Income Index Fund,Multi-Asset Diversified Income Index Fund
MDJM LTD,MDJM
Medley Management Inc. Class A,Medley Management
Mondelez International Inc.,Mondelez International
Meredith Corporation,Meredith
McDermott International Inc.,McDermott International
Medalist Diversified REIT Inc.,Medalist Diversified REIT
Allscripts Healthcare Solutions Inc.,Allscripts Healthcare Solutions
Medidata Solutions Inc.,Medidata Solutions
Medtronic plc.,Medtronic plc.
MDU Resources Group Inc. (Holding Company),MDU Resources (Holding Company)
MediWound Ltd.,MediWound
SPDR MidCap Trust Series I,SPDR MidCap Trust Series I
SPDR S&P 400 Mid Cap Growth ETF (based on S&P MidCap 400 Growth Index--symbol: MUV),SPDR S&P 400 Mid Cap Growth ETF (based on S&P MidCap 400 Growth Index--symbol: MUV)
SPDR S&P 400 Mid Cap Value ETF (based on S&P MidCap 400 Value Index--symbol: MGD,SPDR S&P 400 Mid Cap Value ETF (based on S&P MidCap 400 Value Index--symbol: MGD
MEDIFAST INC,MEDIFAST
Medpace Holdings Inc.,Medpace
The Meet Group Inc.,The Meet
Methode Electronics Inc.,Methode Electronics
MEI Pharma Inc.,MEI Pharma
MercadoLibre Inc.,MercadoLibre
Melrose Bancorp Inc.,Melrose Bancorp
Blackrock MuniEnhanced Fund Inc,Blackrock MuniEnhanced Fund
Methanex Corporation,Methanex
Mercer International Inc.,Mercer International
Mesa Air Group Inc.,Mesa Air
Mesoblast Limited,Mesoblast Limited
MetLife Inc.,MetLife
Ramaco Resources Inc.,Ramaco Resources
MFA Financial Inc.,MFA Financial
Megalith Financial Acquisition Corp. Class A,Megalith Financial Acquisition
Manulife Financial Corporation,Manulife Financial
MFC Bancorp Ltd.,MFC Bancorp
Macquarie First Trust Global,Macquarie First Trust Global
Mizuho Financial Group Inc. Sponosred ADR (Japan),Mizuho Financial Sponosred (Japan)
Micro Focus Intl PLC ADS each representing One Ord Sh,Micro Focus Intl PLC ADS each representing One Ord Sh
Medallion Financial Corp.,Medallion Financial
Blackrock MuniHoldings Investment Quality Fund of Beneficial Interest,Blackrock MuniHoldings Investment Quality Fund of Beneficial Interest
MFS Municipal Income Trust,MFS Municipal Income Trust
Mackinac Financial Corporation,Mackinac Financial
MutualFirst Financial Inc.,MutualFirst Financial
Blackrock MuniYield Investment Quality Fund of Beneficial Interest,Blackrock MuniYield Investment Quality Fund of Beneficial Interest
MFS Special Value Trust,MFS Special Value Trust
Mistras Group Inc,Mistras
Magna International Inc.,Magna International
Vanguard Mega Cap,Vanguard Mega Cap
MGE Energy Inc.,MGE Energy
Miragen Therapeutics Inc.,Miragen Therapeutics
MFS Government Markets Income Trust,MFS Government Markets Income Trust
Moneygram International Inc.,Moneygram International
Magic Software Enterprises Ltd.,Magic Software Enterprises
Vanguard Mega Cap Growth,Vanguard Mega Cap Growth
Magellan Health Inc.,Magellan Health
MGM Resorts International,MGM Resorts International
MacroGenics Inc.,MacroGenics
MGM Growth Properties LLC Class A representing limited liability company interests,MGM Growth Properties LLC representing limited liability company interests
MGP Ingredients Inc.,MGP Ingredients
McGrath RentCorp,McGrath RentCorp
Magenta Therapeutics Inc.,Magenta Therapeutics
MeiraGTx Holdings plc,MeiraGTx plc
Macquarie Global Infrastructure Total Return Fund Inc.,Macquarie Global Infrastructure Total Return Fund
Vanguard Mega Cap Value,Vanguard Mega Cap Value
Magnolia Oil & Gas Corporation Class A,Magnolia Oil & Gas
Magyar Bancorp Inc.,Magyar Bancorp
Blackrock MuniHoldings Fund Inc.,Blackrock MuniHoldings Fund
BlackRock Massachusetts Tax-Exempt Trust,BlackRock Massachusetts Tax-Exempt Trust
Western Asset Municipal High Income Fund Inc.,Western Asset Municipal High Income Fund
Mastech Digital Inc,Mastech Digital
Pioneer Municipal High Income Trust of Beneficial Interest,Pioneer Municipal High Income Trust of Beneficial Interest
Mohawk Industries Inc.,Mohawk Industries
Maiden Holdings Ltd.,Maiden
Blackrock MuniHoldings New York Quality Fund Inc.,Blackrock MuniHoldings New York Quality Fund
M/I Homes Inc.,M/I Homes
Macquarie Infrastructure Corporation,Macquarie Infrastructure
Micron Solutions Inc.,Micron Solutions
MICT Inc.,MICT
The Middleby Corporation,The Middleby
Direxion Mid Cap Bull 3X Shares,Direxion Mid Cap Bull 3X Shares
Cohen & Steers MLP Income and Energy Opportunity Fund Inc.,Cohen & Steers MLP Income and Energy Opportunity Fund
The Michaels Companies Inc.,The Michaels Companies
Mimecast Limited,Mimecast Limited
MFS Intermediate Income Trust,MFS Intermediate Income Trust
Mitcham Industries Inc.,Mitcham Industries
Mobile Mini Inc.,Mobile Mini
PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund
Mitek Systems Inc.,Mitek Systems
AG Mortgage Investment Trust Inc.,AG Mortgage Investment Trust
MiX Telematics Limited American Depositary Shares each representing 25,MiX Telematics Limited American Depositary Shares each representing 25
Blackrock MuniYield Michigan Quality Fund Inc.,Blackrock MuniYield Michigan Quality Fund
Majesco,Majesco
McCormick & Company Incorporated,McCormick & Company Incorporated
McCormick & Company Incorporated,McCormick & Company Incorporated
Monaker Group Inc.,Monaker
Markel Corporation,Markel
MKS Instruments Inc.,MKS Instruments
MarketAxess Holdings Inc.,MarketAxess
Mesa Laboratories Inc.,Mesa Laboratories
Melco Resorts & Entertainment Limited,Melco Resorts & Entertainment Limited
Herman Miller Inc.,Herman Miller
Mueller Industries Inc.,Mueller Industries
Martin Marietta Materials Inc.,Martin Marietta Materials
VanEck Vectors AMT-Free Long Municipal Index,VanEck Vectors AMT-Free Long Municipal Index
Millendo Therapeutics Inc.,Millendo Therapeutics
Melinta Therapeutics Inc.,Melinta Therapeutics
Mellanox Technologies Ltd.,Mellanox
Maui Land & Pineapple Company Inc.,Maui Land & Pineapple Company
Global X MLP,Global X MLP
UBS AG Exchange Traded Access Securities (E-TRACS) Linked to the Alerian Natural Gas MLP Index due July 9 2040,UBS AG Exchange Traded Access Securities (E-TRACS) Linked to the Alerian Natural Gas MLP Index due July 9 2040
UBS AG ETN,UBS AG ETN
Morgan Stanley Cushing MLP High Income Index ETN,Morgan Stanley Cushing MLP High Income Index ETN
Miller Industries Inc.,Miller Industries
Milestone Scientific Inc.,Milestone Scientific
Malvern Bancorp Inc.,Malvern Bancorp
MMA Capital Holdings Inc.,MMA Capital
Marsh & McLennan Companies Inc.,Marsh & McLennan Companies
MainStay MacKay DefinedTerm Municipal Opportunities Fund,MainStay MacKay DefinedTerm Municipal Opportunities Fund
Modern Media Acquisition Corp.,Modern Media Acquisition
Marcus & Millichap Inc.,Marcus & Millichap
Martin Midstream Partners L.P.,Martin Midstream Partners
3M Company,3M Company
Magellan Midstream Partners L.P. Limited Partnership,Magellan Midstream Partners Limited Partnership
Maximus Inc.,Maximus
Merit Medical Systems Inc.,Merit Medical Systems
MFS Multimarket Income Trust,MFS Multimarket Income Trust
Western Asset Managed Municipals Fund Inc.,Western Asset Managed Municipals Fund
MakeMyTrip Limited,MakeMyTrip Limited
Manning & Napier Inc. Class A,Manning & Napier
IQ Merger Arbitrage,IQ Merger Arbitrage
MIND C.T.I. Ltd.,MIND C.T.I.
Blackrock Muni New York Intermediate Duration Fund Inc,Blackrock Muni New York Intermediate Duration Fund
MagneGas Applied Technology Solutions Inc.,MagneGas Applied Technology Solutions
McClatchy Company (The),McClatchy Company (The)
Mallinckrodt plc,Mallinckrodt plc
MannKind Corporation,MannKind
Menlo Therapeutics Inc.,Menlo Therapeutics
MediciNova Inc.,MediciNova
Western Asset Municipal Partners Fund Inc.,Western Asset Municipal Partners Fund
Monmouth Real Estate Investment Corporation Class A,Monmouth Real Estate Investment
Monro Inc.,Monro
Monster Beverage Corporation,Monster Beverage
Momenta Pharmaceuticals Inc.,Momenta Pharmaceuticals
Manitex International Inc.,Manitex International
Altria Group Inc.,Altria
VanEck Vectors Morningstar Wide Moat,VanEck Vectors Morningstar Wide Moat
MobileIron Inc.,MobileIron
Command Security Corporation,Command Security
Modine Manufacturing Company,Modine Manufacturing Company
Model N Inc.,Model N
MidWestOne Financial Group Inc.,MidWestOne Financial
Moog Inc. Class A,Moog
Moog Inc. Class B,Moog B
Mogo Finance Technology Inc.,Mogo Finance Technology
MOGU Inc. American Depositary Shares (each representing 25 Class A),MOGU American Depositary Shares (each representing 25 A)
Molina Healthcare Inc,Molina Healthcare
AGFiQ U.S. Market Neutral Momentum Fund,AGFiQ U.S. Market Neutral Momentum Fund
Momo Inc.,Momo
VanEck Vectors Agribusiness,VanEck Vectors Agribusiness
MorphoSys AG,MorphoSys AG
Morningstar Inc.,Morningstar
VanEck Vectors Mortgage REIT Income,VanEck Vectors Mortgage REIT Income
Mosaic Company (The),Mosaic Company (The)
Mosaic Acquisition Corp. Class A,Mosaic Acquisition
MoSys Inc.,MoSys
Motus GI Holdings Inc.,Motus GI
Movado Group Inc.,Movado
Moxian Inc.,Moxian
Blackrock MuniYield Pennsylvania Quality Fund,Blackrock MuniYield Pennsylvania Quality Fund
Motorcar Parts of America Inc.,Motorcar Parts of America
Mid Penn Bancorp,Mid Penn Bancorp
Marathon Petroleum Corporation,Marathon Petroleum
MPLX LP Representing Limited Partner Interests,MPLX Representing Limited Partner Interests
Midstates Petroleum Company Inc.,Midstates Petroleum Company
Barings Participation Investors,Barings Participation Investors
Mountain Province Diamonds Inc.,Mountain Province Diamonds
Medical Properties Trust Inc.,Medical Properties Trust
Monolithic Power Systems Inc.,Monolithic Power Systems
Marine Products Corporation,Marine Products
Blackrock MuniYield Quality Fund II Inc.,Blackrock MuniYield Quality Fund II
Blackrock MuniYield Quality Fund Inc.,Blackrock MuniYield Quality Fund
Everspin Technologies Inc.,Everspin
Meridian Corporation,Meridian
MRC Global Inc.,MRC Global
Monroe Capital Corporation,Monroe Capital
Mercury Systems Inc,Mercury Systems
Marin Software Incorporated,Marin Software Incorporated
Merck & Company Inc. (new),Merck & Company (new)
Marker Therapeutics Inc.,Marker Therapeutics
Marlin Business Services Corp.,Marlin Business Services
Moderna Inc.,Moderna
Marinus Pharmaceuticals Inc.,Marinus Pharmaceuticals
Marathon Oil Corporation,Marathon Oil
Mersana Therapeutics Inc.,Mersana Therapeutics
MedEquities Realty Trust Inc.,MedEquities Realty Trust
Marten Transport Ltd.,Marten Transport
Mirati Therapeutics Inc.,Mirati Therapeutics
Merus N.V.,Merus N.V.
Marvell Technology Group Ltd.,Marvell Technology
Morgan Stanley,Morgan Stanley
MSA Safety Incorporated,MSA Safety Incorporated
Mesabi Trust,Mesabi Trust
MSB Financial Corp.,MSB Financial
Midland States Bancorp Inc.,Midland States Bancorp
Studio City International Holdings Limited American depositary shares each representing four Class A,Studio City International Limited American depositary shares each representing four
MSCI Inc,MSCI
Morgan Stanley Emerging Markets Debt Fund Inc.,Morgan Stanley Emerging Markets Debt Fund
Middlesex Water Company,Middlesex Water Company
Morgan Stanley Emerging Markets Fund Inc.,Morgan Stanley Emerging Markets Fund
Microsoft Corporation,Microsoft
The Madison Square Garden Company Class A (New),The Madison Square Garden Company (New)
MSG Networks Inc.,MSG Networks
Motorola Solutions Inc.,Motorola Solutions
MidSouth Bancorp,MidSouth Bancorp
MSC Industrial Direct Company Inc.,MSC Industrial Direct Company
Emerson Radio Corporation,Emerson Radio
MISONIX Inc.,MISONIX
MicroStrategy Incorporated,MicroStrategy Incorporated
Mid-Southern Bancorp Inc.,Mid-Southern Bancorp
Arcelor Mittal NY Registry Shares NEW,Arcelor Mittal NY Registry Shares NEW
M&T Bank Corporation,M&T Bank
Medical Transcription Billing Corp.,Medical Transcription Billing
MMTec Inc.,MMTec
Match Group Inc.,Match
Mettler-Toledo International Inc.,Mettler-Toledo International
Matador Resources Company,Matador Resources Company
MTech Acquisition Corp.,MTech Acquisition
Molecular Templates Inc.,Molecular Templates
Mannatech Incorporated,Mannatech Incorporated
Motif Bio plc,Motif Bio plc
MGIC Investment Corporation,MGIC Investment
Meritage Homes Corporation,Meritage Homes
Mechel PAO American Depositary Shares (Each rep. 1),Mechel PAO American Depositary Shares (Each rep. 1)
Materialise NV,Materialise NV
Vail Resorts Inc.,Vail Resorts
Matinas Biopharma Holdings Inc.,Matinas Biopharma
Meritor Inc.,Meritor
Midatech Pharma PLC,Midatech Pharma PLC
Mesa Royalty Trust,Mesa Royalty Trust
Materion Corporation,Materion
Matrix Service Company,Matrix Service Company
MTS Systems Corporation,MTS Systems
MACOM Technology Solutions Holdings Inc.,MACOM Technology Solutions
MER Telemanagement Solutions Ltd.,MER Telemanagement Solutions
Western Asset Municipal Defined Opportunity Trust Inc,Western Asset Municipal Defined Opportunity Trust
Manitowoc Company Inc. (The),Manitowoc Company (The)
Minerals Technologies Inc.,Minerals
MasTec Inc.,MasTec
Micron Technology Inc.,Micron Technology
Blackrock MuniAssets Fund Inc,Blackrock MuniAssets Fund
iShares National Muni Bond,iShares National Muni Bond
Blackrock MuniHoldings California Quality Fund Inc.,Blackrock MuniHoldings California Quality Fund
Mudrick Capital Acquisition Corporation,Mudrick Capital Acquisition
Blackrock MuniHoldings Quality Fund II Inc.,Blackrock MuniHoldings Quality Fund II
Mitsubishi UFJ Financial Group Inc.,Mitsubishi UFJ Financial
Blackrock MuniHoldings Fund II Inc.,Blackrock MuniHoldings Fund II
Blackrock Muni Intermediate Duration Fund Inc,Blackrock Muni Intermediate Duration Fund
Blackrock MuniHoldings New Jersey Quality Fund Inc.,Blackrock MuniHoldings New Jersey Quality Fund
PIMCO Intermediate Municipal Bond Active Exchange-Traded Fund,PIMCO Intermediate Municipal Bond Active Exchange-Traded Fund
Murphy Oil Corporation,Murphy Oil
Blackrock MuniHoldings Quality Fund Inc,Blackrock MuniHoldings Quality Fund
Murphy USA Inc.,Murphy USA
McEwen Mining Inc.,McEwen Mining
MVB Financial Corp.,MVB Financial
MVC Capital Inc.,MVC Capital
Blackrock MuniVest Fund Inc.,Blackrock MuniVest Fund
MicroVision Inc.,MicroVision
MV Oil Trust,MV Oil Trust
Blackrock MuniVest Fund II Inc.,Blackrock MuniVest Fund II
ProShares Ultra MidCap400,ProShares Ultra MidCap400
MUELLER WATER PRODUCTS,MUELLER WATER PRODUCTS
MagnaChip Semiconductor Corporation,MagnaChip Semiconductor
Mexco Energy Corporation,Mexco Energy
Mexico Equity and Income Fund Inc. (The),Mexico Equity and Income Fund (The)
Mexico Fund Inc. (The),Mexico Fund (The)
iShares Global Materials,iShares Global Materials
Maxim Integrated Products Inc.,Maxim Integrated Products
MaxLinear Inc.,MaxLinear
Maxwell Technologies Inc.,Maxwell
Blackrock MuniYield California Fund Inc.,Blackrock MuniYield California Fund
Blackrock MuniYield Fund Inc.,Blackrock MuniYield Fund
Myers Industries Inc.,Myers Industries
Blackrock MuniYield Investment Fund,Blackrock MuniYield Investment Fund
First Western Financial Inc.,First Western Financial
Myriad Genetics Inc.,Myriad Genetics
Blackrock MuniYield Quality Fund III Inc,Blackrock MuniYield Quality Fund III
Blackrock MuniYield New Jersey Fund Inc,Blackrock MuniYield New Jersey Fund
Mylan N.V.,Mylan N.V.
Blackrock MuniYield New York Quality Fund Inc.Common Stock,Blackrock MuniYield New York Quality Fund Inc.Common Stock
MYnd Analytics Inc.,MYnd Analytics
Myomo Inc.,Myomo
MyoKardia Inc.,MyoKardia
MYOS RENS Technology Inc.,MYOS RENS Technology
Myovant Sciences Ltd.,Myovant Sciences
MYR Group Inc.,MYR
My Size Inc.,My Size
ProShares Short MidCap400,ProShares Short MidCap400
Blackrock MuniYield Arizona Fund Inc.,Blackrock MuniYield Arizona Fund
Nuveen California Quality Municipal Income Fund,Nuveen California Quality Municipal Income Fund
Nuveen Quality Municipal Income Fund,Nuveen Quality Municipal Income Fund
Natural Alternatives International Inc.,Natural Alternatives International
Northern Dynasty Minerals Ltd.,Northern Dynasty Minerals
Naked Brand Group Limited,Naked Brand Limited
Nuveen New York Quality Municipal Income Fund,Nuveen New York Quality Municipal Income Fund
Nanometrics Incorporated,Nanometrics Incorporated
Nordic Amern Offshore Ltd. (Bermuda),Nordic Amern Offshore (Bermuda)
NanoVibronix Inc.,NanoVibronix
Nordic American Tankers Limited,Nordic American Tankers Limited
Nathan's Famous Inc.,Nathan's Famous
National Instruments Corporation,National Instruments
Nature's Sunshine Products Inc.,Nature's Sunshine Products
Navistar International Corporation,Navistar International
Navidea Biopharmaceuticals Inc.,Navidea Biopharmaceuticals
The Navigators Group Inc.,The Navigators
Navient Corporation,Navient
Nuveen Arizona Quality Municipal Income Fund,Nuveen Arizona Quality Municipal Income Fund
Nuveen Taxable Municipal Income Fund of Beneficial Interest,Nuveen Taxable Municipal Income Fund of Beneficial Interest
New Age Beverages Corporation,New Age Beverages
Neuberger Berman Municipal Fund Inc.,Neuberger Berman Municipal Fund
National Bank Holdings Corporation,National Bank
Neurocrine Biosciences Inc.,Neurocrine Biosciences
Noble Energy Inc.,Noble Energy
Noble Midstream Partners LP Representing Limited Partner Interests,Noble Midstream Partners Representing Limited Partner Interests
Northeast Bancorp,Northeast Bancorp
Neuberger Berman New York Municipal Fund Inc.,Neuberger Berman New York Municipal Fund
Nabors Industries Ltd.,Nabors Industries
Nabriva Therapeutics plc,Nabriva Therapeutics plc
NBT Bancorp Inc.,NBT Bancorp
Neuberger Berman California Municipal Fund Inc,Neuberger Berman California Municipal Fund
NovaBay Pharmaceuticals Inc.,NovaBay Pharmaceuticals
NACCO Industries Inc.,NACCO Industries
Nuveen California Municipal Value Fund Inc.,Nuveen California Municipal Value Fund
Nuveen California Municipal Value Fund 2 of Beneficial Interest,Nuveen California Municipal Value Fund 2 of Beneficial Interest
Nicolet Bankshares Inc.,Nicolet Bankshares
Navigant Consulting Inc.,Navigant Consulting
Norwegian Cruise Line Holdings Ltd.,Norwegian Cruise Line
National CineMedia Inc.,National CineMedia
NuCana plc,NuCana plc
National Commerce Corporation,National Commerce
NCR Corporation,NCR
NCI Building Systems Inc.,NCI Building Systems
NCS Multistage Holdings Inc.,NCS Multistage
The9 Limited,The9 Limited
AllianzGI Convertible & Income Fund,AllianzGI Convertible & Income Fund
AllianzGI Convertible & Income Fund II of Beneficial Interest,AllianzGI Convertible & Income Fund II of Beneficial Interest
Nasdaq Inc.,Nasdaq
Noodles & Company,Noodles & Company
Tortoise Energy Independence Fund Inc.,Tortoise Energy Independence Fund
ENDRA Life Sciences Inc.,ENDRA Life Sciences
Nordson Corporation,Nordson
Noble Corporation (UK),Noble (UK)
Nuveen AMT-Free Quality Municipal Income Fund of Beneficial Interest Par Value $.01,Nuveen AMT-Free Quality Municipal Income Fund of Beneficial Interest Par Value $.01
Nebula Acquisition Corporation,Nebula Acquisition
NextEra Energy Inc.,NextEra Energy
Newmont Mining Corporation,Newmont Mining
New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,New England Realty Associates Limited Partnership Depositary Receipts Evidencing Units of Limited Partnership
NeoGenomics Inc.,NeoGenomics
Neogen Corporation,Neogen
Neonode Inc.,Neonode
Neos Therapeutics Inc.,Neos Therapeutics
NextEra Energy Partners LP representing limited partner interests,NextEra Energy Partners representing limited partner interests
Neptune Wellness Solutions Inc.,Neptune Wellness Solutions
Minerva Neurosciences Inc,Minerva Neurosciences
Nuverra Environmental Solutions Inc.,Nuverra Environmental Solutions
National Energy Services Reunited Corp.,National Energy Services Reunited
Net Element Inc.,Net Element
Netshoes (Cayman) Limited,Netshoes (Cayman) Limited
NewMarket Corp,NewMarket
Nuveen Enhanced Municipal Value Fund of Beneficial Interest,Nuveen Enhanced Municipal Value Fund of Beneficial Interest
Puxin Limited American Depositary Shares each representing two,Puxin Limited American Depositary Shares each representing two
Newater Technology Inc.,Newater Technology
New Media Investment Group Inc.,New Media Investment
New Relic Inc.,New Relic
Newtek Business Services Corp.,Newtek Business Services
Nexa Resources S.A.,Nexa Resources S.A.
NextDecade Corporation,NextDecade
Northfield Bancorp Inc.,Northfield Bancorp
New Frontier Corporation Class A,New Frontier
New Fortress Energy LLC,New Fortress Energy LLC
NF Energy Saving Corporation,NF Energy Saving
National Fuel Gas Company,National Fuel Gas Company
AllianzGI NFJ Dividend Interest & Premium Strategy Fund,AllianzGI NFJ Dividend Interest & Premium Strategy Fund
Netflix Inc.,Netflix
Invesco Insider Sentiment,Invesco Insider Sentiment
Newfield Exploration Company,Newfield Exploration Company
Novagold Resources Inc.,Novagold Resources
New Gold Inc.,New Gold
National Grid Transco PLC PLC (NEW) American Depositary Shares,National Grid Transco PLC PLC (NEW) American Depositary Shares
National General Holdings Corp,National General
NGL ENERGY PARTNERS LP representing Limited Partner Interests,NGL ENERGY PARTNERS representing Limited Partner Interests
Natural Gas Services Group Inc.,Natural Gas Services
Natural Grocers by Vitamin Cottage Inc.,Natural Grocers by Vitamin Cottage
Ingevity Corporation,Ingevity
NantHealth Inc.,NantHealth
Nuveen Municipal 2021 Target Term Fund Fund,Nuveen Municipal 2021 Target Term Fund Fund
National HealthCare Corporation,National HealthCare
NexPoint Strategic Opportunities Fund,NexPoint Strategic Opportunities Fund
National Health Investors Inc.,National Health Investors
National Holdings Corporation,National
Neuberger Berman High Yield Strategies Fund,Neuberger Berman High Yield Strategies Fund
Natural Health Trends Corp.,Natural Health Trends
NiSource Inc,NiSource
iPath Bloomberg Cocoa Subindex Total Return SM IndexETN,iPath Bloomberg Cocoa Subindex Total Return SM IndexETN
NICE Ltd,NICE
Nicholas Financial Inc.,Nicholas Financial
Nuveen Intermediate Duration Municipal Term Fund of Beneficial Interest,Nuveen Intermediate Duration Municipal Term Fund of Beneficial Interest
AllianzGI Equity & Convertible Income Fund,AllianzGI Equity & Convertible Income Fund
NII Holdings Inc.,NII
Nuveen Select Maturities Municipal Fund,Nuveen Select Maturities Municipal Fund
Nine Energy Service Inc.,Nine Energy Service
NIO Inc. American depositary shares each representing one Class A,NIO American depositary shares each representing one
